,ligne,N_dpt,Date,Type,N_ref,Nom,Organisme,Commune,Analysé,G_session,Espèce,Lignée,Sexe,Génotype,IQ
1204,"06 06/03/2019 F F0619078 KRAMMER PNM ST ETIENNE DE TINEE OUI 17/10/2019 Canis lupus Italo-alpine XY S52-32 0,69",6,06/03/2019,F,F0619078,KRAMMER,PNM,ST ETIENNE DE TINEE,OUI,17/10/2019,Canis lupus,Italo-alpine,XY,S52-32,"0,69"
1205,"06 06/03/2019 F F0619131 BENSA PNM ENTRAUNES OUI 17/10/2019 Canis lupus Italo-alpine NI NA 0,00",6,06/03/2019,F,F0619131,BENSA,PNM,ENTRAUNES,OUI,17/10/2019,Canis lupus,Italo-alpine,NI,NA,0
1206,06 07/03/2019 F F0619079 BERNARD OFB BEZAUDUN LES ALPES OUI 17/02/2020 Vulpes vulpes,6,07/03/2019,F,F0619079,BERNARD,OFB,BEZAUDUN LES ALPES,OUI,17/02/2020,Vulpes vulpes,,,,
1207,06 08/03/2019 F F0619136 MALTHIEUX PNM BREIL SUR ROYA OUI 14/11/2019 Impossible NA,6,08/03/2019,F,F0619136,MALTHIEUX,PNM,BREIL SUR ROYA,OUI,14/11/2019,Impossible NA,,,,
1208,"06 08/03/2019 F F0619137 MALTHIEUX PNM BREIL SUR ROYA OUI 17/10/2019 Canis lupus Italo-alpine NI NA 0,00",6,08/03/2019,F,F0619137,MALTHIEUX,PNM,BREIL SUR ROYA,OUI,17/10/2019,Canis lupus,Italo-alpine,NI,NA,0
1209,06 08/03/2019 F F0619138 MALTHIEUX PNM BREIL SUR ROYA OUI 14/11/2019 Impossible NA,6,08/03/2019,F,F0619138,MALTHIEUX,PNM,BREIL SUR ROYA,OUI,14/11/2019,Impossible NA,,,,
1210,06 08/03/2019 F F0619139 MALTHIEUX PNM BREIL SUR ROYA OUI 14/11/2019 Impossible NA,6,08/03/2019,F,F0619139,MALTHIEUX,PNM,BREIL SUR ROYA,OUI,14/11/2019,Impossible NA,,,,
1211,06 08/03/2019 F F0619140 MALTHIEUX PNM BREIL SUR ROYA OUI 14/11/2019 Impossible NA,6,08/03/2019,F,F0619140,MALTHIEUX,PNM,BREIL SUR ROYA,OUI,14/11/2019,Impossible NA,,,,
1212,06 08/03/2019 F F0619135 MALTHIEUX PNM BREIL SUR ROYA OUI 14/11/2019 Impossible NA,6,08/03/2019,F,F0619135,MALTHIEUX,PNM,BREIL SUR ROYA,OUI,14/11/2019,Impossible NA,,,,
1213,"06 09/03/2019 F F0619096 ALIE CNRS CONSEGUDES OUI 13/09/2020 Canis lupus Italo-alpine XX S70-070 0,72",6,09/03/2019,F,F0619096,ALIE,CNRS,CONSEGUDES,OUI,13/09/2020,Canis lupus,Italo-alpine,XX,S70-070,"0,72"
1214,06 09/03/2019 F F0619098 MILLISCHER Particulier BELVEDERE OUI 17/10/2019 Impossible NA,6,09/03/2019,F,F0619098,MILLISCHER,Particulier,BELVEDERE,OUI,17/10/2019,Impossible NA,,,,
1215,"06 09/03/2019 F F0619241 SIMÉON FDC THIERY OUI 10/06/2020 Canis lupus Italo-alpine XY S69-36 0,84",6,09/03/2019,F,F0619241,SIMÉON,FDC,THIERY,OUI,10/06/2020,Canis lupus,Italo-alpine,XY,S69-36,"0,84"
1216,"06 09/03/2019 F F0619099 MILLISCHER PNM BELVEDERE OUI 17/10/2019 Canis lupus Italo-alpine XX S65-40 0,85",6,09/03/2019,F,F0619099,MILLISCHER,PNM,BELVEDERE,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S65-40,"0,85"
1217,06 09/03/2019 F F0619098 MILLISCHER PNM BELVEDERE OUI 17/10/2019 Impossible NA,6,09/03/2019,F,F0619098,MILLISCHER,PNM,BELVEDERE,OUI,17/10/2019,Impossible NA,,,,
1218,"06 09/03/2019 F F0619097 MILLISCHER PNM BELVEDERE OUI 17/10/2019 Canis lupus Italo-alpine XX S65-40 0,92",6,09/03/2019,F,F0619097,MILLISCHER,PNM,BELVEDERE,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S65-40,"0,92"
1219,"06 09/03/2019 F F0619097 MILLISCHER Particulier BELVEDERE OUI 17/10/2019 Canis lupus Italo-alpine XX S65-40 0,92",6,09/03/2019,F,F0619097,MILLISCHER,Particulier,BELVEDERE,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S65-40,"0,92"
1220,06 09/03/2019 F F0619095 ALIE CNRS CONSEGUDES OUI 13/09/2020 Impossible NA,6,09/03/2019,F,F0619095,ALIE,CNRS,CONSEGUDES,OUI,13/09/2020,Impossible NA,,,,
1221,06 09/03/2019 F F0619093 ALIE CNRS LES FERRES OUI 13/09/2020 Impossible NA,6,09/03/2019,F,F0619093,ALIE,CNRS,LES FERRES,OUI,13/09/2020,Impossible NA,,,,
1222,06 09/03/2019 F F0619092 ALIE CNRS LES FERRES OUI 13/09/2020 Impossible NA,6,09/03/2019,F,F0619092,ALIE,CNRS,LES FERRES,OUI,13/09/2020,Impossible NA,,,,
1223,"06 09/03/2019 F F0619099 MILLISCHER Particulier BELVEDERE OUI 17/10/2019 Canis lupus Italo-alpine XX S65-40 0,85",6,09/03/2019,F,F0619099,MILLISCHER,Particulier,BELVEDERE,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S65-40,"0,85"
1224,06 09/03/2019 F F0619094 ALIE CNRS COURSEGOULES OUI 08/04/2021,6,09/03/2019,F,F0619094,ALIE,CNRS,COURSEGOULES,OUI,08/04/2021,,,,,
1225,"06 10/03/2019 F F0619100 MILLISCHER PNM ST MARTIN VESUBIE OUI 17/02/2020 Canis lupus Italo-alpine XX S57-40 1,00",6,10/03/2019,F,F0619100,MILLISCHER,PNM,ST MARTIN VESUBIE,OUI,17/02/2020,Canis lupus,Italo-alpine,XX,S57-40,1
1226,06 10/03/2019 F F0619101 MILLISCHER Particulier ST MARTIN VESUBIE OUI 14/11/2019 Impossible NA,6,10/03/2019,F,F0619101,MILLISCHER,Particulier,ST MARTIN VESUBIE,OUI,14/11/2019,Impossible NA,,,,
